State,Lokshabha Seat Name,Incident Description,Action taken,Location of Incident
Manipur,Thamanpokpi,Gun Firing,Repolling,
Manipur,Inner Manipur,Alleged Irregularties,Voting Station Shutdown,Thongju
Arunachal Pradesh,Arunachal West,Violence and EVM damage,Repolling,8 Polling Booths
Karnataka,Chamarajanagar,Voters Clash,Repolling,Hanur
Rajasthan,Barmer,Booth Capturing,Repolling,Dudhwa Khurd
Rajasthan,Ajmer,Misplacement of election related document by ECI,Repolling,Masuda
Uttar Pradesh,Ghaziabad,Alleged malfunctions of EVMs at 3 polling booths in Muslim dominated area,,
Gujrat,Dahod,bogus voting,Repolling,Parthampur
Madhya Pradesh,Bhopal,Taking unauthorized person inside voting area (INC),Legal Case,
Madhya Pradesh,Betul,Taking unauthorized person inside voting area (BJP),Legal Case,
Madhya Pradesh,Harda,Taking unauthorized person inside voting area (BJP),Legal Case,
Uttar Pradesh,Sambhal,Alleged beating by police,Dismissed by police,Asmoli
Uttar Pradesh,Firzobaad,Disturbing polls by BLP,Arrested,
Uttar Pradesh,Firzobaad,Attempt to influence voters,Arrested,
Uttar Pradesh,Mainpuri,Attempt to influence voters,Arrested,
Uttar Pradesh,Sambhal,Alleged impersonation of circle officer by BJP worker,,
Uttar Pradesh,Moradabad,Denied Aadhar card as ID,,Kundarki
Uttar Pradesh,Aonla,Denied Aadhar card as ID,,Shekhpur
Uttar Pradesh,Mainpuri,Alleged Booth Capturing,,Kursra
Uttar Pradesh,Budaun,Alleged prevention of muslim women from casting vote,Dismissed by district Megistrate,Sahaswan
Madhya Pradesh,Bhopal,Unauthorized recording of vote in voting area,Arrested,Berasia
Karnataka,Chitradurga/Old Mysuru region,Supporters Clash,,
Telangana,Hyderabaad,Unauthorized checking of voters id by Madhavi Lata,Legal Case,Malakpet
Andhra Pradesh,Guntur,Slapping a voter by YSRCP leader,,
Uttar Pradesh,Farrukhabad,Multiple Voting,Repolling,Aliganj
Maharasthra,Beed,Alleged prevention from casting vote,,Vivek Vardhini School
Maharasthra,Beed,Alleged Booth Capturing,Inquiry and no-repolling,
Maharasthra,Beed,Alleged prevention of muslims from casting vote,Inquiry and no-repolling,Dharmapuri
Delhi,North East Delhi,Alleged bogus voting by Manoj Tiwari,,
West Bengal,Jadavpur,Supporters Clash,,Bhangur
,Balurghat,Supporters Clash,,
West Bengal,Barasat,Supporters Clash,Repolling,
West Bengal,Mathurapur,Supporters Clash,Repolling,
West Bengal,Barasat,Malpractices at booth against BJP option on EVM and other,Repolling,Deganga
West Bengal,Mathurapur,Malpractices at booth against BJP option on EVM and other,Repolling,Kakdwip
West Bengal,Basirhat,Clashes in several areas,,Sandeshkhali
West Bengal,Jaynagar,Throwing of EVM and papers in pond by local mob,,Banimadhabpur F P Primary School
West Bengal,Jadavpur,Crude bomb throwing,,Bhangar
West Bengal,Diamond Harbour,Clash with TMC Workers,,
